m	iter	|LRC|	z	S	tiempo / segundos	
2	10	2	11.800310	{ ( 0.650000, 3.760000, 9.070000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002111	
2	10	3	11.800310	{ ( 0.650000, 3.760000, 9.070000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002302	
2	20	2	11.800310	{ ( 0.650000, 3.760000, 9.070000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.003851	
2	20	3	11.800310	{ ( 0.650000, 3.760000, 9.070000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.004851	
3	10	2	30.872660	{ ( 0.650000, 3.760000, 9.070000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.001289	
3	10	3	30.872660	{ ( 0.650000, 3.760000, 9.070000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.001451	
3	20	2	30.872660	{ ( 0.650000, 3.760000, 9.070000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002420	
3	20	3	30.872660	{ ( 0.650000, 3.760000, 9.070000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002436	
4	10	2	56.690311	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002207	
4	10	3	56.690311	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.002380	
4	20	2	56.690311	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.004613	
4	20	3	56.690311	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.004556	
5	10	2	92.829742	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.003447	
5	10	3	92.829742	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.004647	
5	20	2	92.829742	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.008304	
5	20	3	92.829742	{ ( 0.650000, 3.760000, 9.070000 ), ( 0.830000, 7.060000, 3.340000 ), ( 8.870000, 9.560000, 5.340000 ), ( 9.600000, 2.020000, 9.000000 ), ( 9.810000, 2.050000, 1.830000 ) }	0.008137	
